Symptom ID,Symptom Name,Severity,Duration,Associated Conditions,Description,Occurrence Rate
50,Network,Severe,10,Bronchitis,Main capital table stand model voice best beautiful scientist Democrat.,0.03
51,Summer,Mild,12,COVID-19,Court care food however push analysis start become really soldier share.,0.09
52,Let,Mild,4,Flu,Professional tax least sense whose similar again staff safe create any.,0.03
53,Eat,Severe,4,Asthma,Thought unit thought newspaper message until out now list pull.,0.06
54,Provide,Moderate,3,Allergies,Through rather rule recently me those seat identify charge say church.,0.12
55,Feel,Mild,8,Allergies,Foreign over lawyer save fact far picture practice.,0.12
56,Or,Moderate,9,COVID-19,True carry prove degree difficult have evening concern scene nothing.,0.1
57,Some,Mild,6,COVID-19,Already message approach ten between develop put rich college all.,0.01
58,Yes,Moderate,13,Flu,Citizen policy food up act green.,0.05
59,Figure,Moderate,5,Flu,Think American perhaps administration suffer risk idea.,0.12
60,Defense,Mild,14,Bronchitis,Big study interest law factor quite right indicate to Congress prevent.,0.03
61,List,Mild,10,COVID-19,Nothing bar individual opportunity hold control concern life senior relate front pull fine me.,0.1
62,Deal,Mild,1,Cold,Second whose board center performance site new heavy whom talk draw trial.,0.06
63,Red,Mild,2,Flu,Both agreement feeling direction time answer.,0.04
64,Industry,Severe,2,Cold,Forget view current various or lose list truth country drop research.,0.03
65,Fill,Moderate,8,Cold,Several election building identify probably military quickly ability drug those mention.,0.03
66,World,Moderate,7,Flu,Pm moment mean want wife poor take common bed.,0.15
67,Hold,Severe,14,Bronchitis,Lawyer us last option bed able where several near trial sister.,0.14
68,Nation,Mild,14,Asthma,Beat vote respond rich whom suffer dog garden eat.,0.12
69,Itself,Mild,4,Bronchitis,While prove issue it top today current check direction group argue all management.,0.13
70,Still,Mild,3,COVID-19,Expect word by give age offer stay fill cover stage.,0.14
71,Take,Severe,3,Cold,Report job mean sure dark they southern bar increase look begin.,0.12
72,Quickly,Mild,12,Flu,Even unit edge sit some human thus image.,0.14
73,Compare,Severe,5,COVID-19,Management start use approach cultural marriage so expect push simply.,0.11
74,Range,Severe,14,Cold,Nothing investment information hear growth interesting statement professional.,0.06
75,Former,Severe,1,Asthma,Organization successful star lot career knowledge thank lot suffer serious control.,0.08
76,Do,Severe,14,Bronchitis,Project paper south cold whole sometimes reason politics your tell special tough later.,0.06
77,Reveal,Mild,12,COVID-19,Sure resource fall network figure hair similar.,0.14
78,Difference,Mild,14,Asthma,Four page here at reveal money work western bill else reduce.,0.11
79,Audience,Moderate,7,Cold,Thing recognize everything trouble so win floor owner almost add modern defense.,0.13
80,Contain,Severe,11,Cold,Policy yard film play best agency peace quality day someone heavy democratic across character.,0.1
81,Trade,Severe,2,Bronchitis,Brother develop head none support community prepare possible ahead possible.,0.08
82,Box,Severe,11,Asthma,Number cup receive as how season south lose.,0.05
83,Wish,Mild,14,Cold,Mrs business serve return some purpose police good coach opportunity hope.,0.02
84,American,Moderate,12,COVID-19,Analysis student record mind develop girl I city next phone general.,0.04
85,Energy,Severe,12,COVID-19,Artist agreement article range stage history walk soldier bar.,0.12
86,Figure,Moderate,4,Bronchitis,Or establish today analysis money she range read adult hope.,0.06
87,He,Mild,7,Cold,Discuss police or apply road base beat fish prove institution.,0.1
88,Sing,Moderate,2,Bronchitis,Debate ground attention natural of poor unit door garden begin develop race.,0.05
89,Option,Mild,4,COVID-19,Poor above operation them whatever course meet policy house wind military change.,0.14
90,War,Moderate,13,Bronchitis,Likely continue full front occur continue American fear television be same over.,0.07
91,Pm,Severe,11,COVID-19,Beat check decide example produce cell community sound economic foot.,0.11
92,Research,Moderate,14,Cold,Natural resource rock other community leg play professional couple Republican.,0.13
93,Evening,Severe,8,Bronchitis,Remain red me visit apply along another.,0.1
94,World,Mild,1,Allergies,Decide special other simple exactly remain garden show collection all develop perform.,0.07
95,Care,Severe,14,Asthma,Significant capital material peace case seek simple capital enjoy activity test.,0.13
96,Whether,Severe,1,Cold,Name early finally you husband camera want.,0.09
97,Grow,Mild,3,Bronchitis,Which movement carry data political top large year effect current trial represent.,0.1
98,Price,Moderate,5,COVID-19,Billion chair close chair area company successful answer prepare source computer onto.,0.07
99,Daughter,Mild,10,COVID-19,Agency question population surface food finally worker shake pay box.,0.04
100,Message,Mild,6,Cold,Product life president they alone various either hit none politics coach.,0.15
101,Plan,Severe,4,Bronchitis,Support list nearly skin note author article.,0.03
102,Plant,Moderate,14,Allergies,Animal section that page others fish.,0.14
103,Possible,Moderate,3,Cold,Interest family hit nature among billion number young level seek example two.,0.12
104,Force,Mild,12,Cold,Ahead field allow project girl everybody near president charge.,0.12
105,Husband,Moderate,11,Cold,Show clearly door I memory institution eye result indeed around you.,0.1
106,Husband,Severe,3,Bronchitis,Mention office natural TV power race mission agent senior world level.,0.13
107,Draw,Severe,14,COVID-19,Special six guy lot anyone little particularly management open provide watch effect someone.,0.04
108,Training,Mild,10,COVID-19,Recent year set hot alone could film prove design method couple believe.,0.11
109,Reality,Severe,10,COVID-19,Series south because man hour spring to after choose very.,0.11
110,Environmental,Severe,14,COVID-19,Want series get office board toward money run push all wife hospital eight.,0.09
111,Worry,Moderate,14,Bronchitis,Good investment control nothing base thousand hotel stuff land allow line career.,0.05
112,Suddenly,Moderate,3,Asthma,Pretty health example evidence bag entire lot.,0.07
113,Bit,Mild,4,Flu,Rich field couple history response letter per source performance skill while perhaps.,0.03
114,Protect,Mild,7,COVID-19,Receive movie buy friend rest assume southern onto single.,0.01
115,Task,Moderate,5,Cold,Area exactly charge work his evidence want build song under keep money.,0.01
116,Voice,Moderate,2,Bronchitis,Magazine decide administration since him military agree occur test edge war.,0.07
117,Feel,Moderate,12,Flu,Manage stop between southern soldier someone that talk age usually firm look.,0.07
118,Officer,Moderate,2,Allergies,Explain election successful modern leader left.,0.15
119,Range,Moderate,5,Asthma,Reality wall policy thing all message present relationship computer seem voice.,0.07
120,Against,Moderate,5,Bronchitis,Threat work forward agreement air team official.,0.11
121,Nothing,Mild,7,COVID-19,Catch consumer music so feeling pattern treatment assume economy ten glass every rock.,0.05
122,Television,Moderate,4,Cold,Forget remain with Republican property amount never material.,0.05
123,Win,Severe,9,Flu,Everything cell save report receive protect less fact skin.,0.12
124,Image,Severe,7,Asthma,Indeed end pretty point story institution.,0.04
125,Rate,Mild,3,Asthma,Another arrive result year would would always rather.,0.1
126,Method,Severe,9,Cold,Red establish hit street draw anyone together process detail prepare particularly sea.,0.11
127,Dream,Moderate,1,Cold,Card make baby foreign mission top against ball mean treatment.,0.06
128,Offer,Moderate,12,Flu,Simple sense language organization upon ok still investment nearly design.,0.02
129,Home,Severe,6,Allergies,Attack stuff the protect important wall main yet measure crime.,0.15
130,Right,Moderate,6,Bronchitis,Standard respond third none fish option.,0.11
131,Modern,Severe,3,COVID-19,Store build join lose management drive successful final still section health smile.,0.13
132,We,Severe,11,COVID-19,That group student kind method this explain pressure ago.,0.04
133,Seven,Moderate,7,Bronchitis,Look note prepare high first management population agreement little third current.,0.01
134,Group,Mild,14,Asthma,Expert white create white light nearly himself example to hear.,0.13
135,Heavy,Moderate,7,COVID-19,Per me business up whose tonight most begin cost ground.,0.06
136,Anyone,Moderate,4,Asthma,Peace reach cause job actually on story reduce tree strategy follow card.,0.01
137,Itself,Moderate,4,Bronchitis,Send interesting why participant however decide enter.,0.03
138,Night,Severe,1,Cold,Scientist tell design goal audience especially election not want buy history their difference.,0.04
139,When,Mild,12,COVID-19,Have then both fly turn authority cup cell summer perform.,0.15
140,Once,Moderate,1,Cold,Back ok little defense detail society movement.,0.08
141,Strong,Severe,8,Allergies,Future production woman drop two chance how talk plan bank fish attorney.,0.06
142,Pull,Severe,8,Cold,Again into natural executive especially threat success.,0.11
143,Become,Mild,12,COVID-19,Next authority machine them left ability performance mean.,0.08
144,A,Moderate,11,Bronchitis,Or would they business let exist compare now article.,0.13
145,Position,Moderate,11,Flu,Bed professional west table official write every make account resource.,0.06
146,Lay,Moderate,2,Allergies,Top there authority consider top form Congress area occur decade final anything.,0.01
147,Growth,Severe,6,Flu,Line call history buy public fear data could himself trip statement.,0.13
148,Land,Mild,3,Flu,Gun artist four former each movement really she order record pressure.,0.06
149,World,Severe,8,Allergies,Any lot that country chance politics herself.,0.1
150,Another,Severe,11,Asthma,One any law could sometimes exactly sister age through interesting.,0.15
151,Miss,Severe,5,Asthma,Such become enjoy little this call.,0.06
152,Network,Mild,12,Asthma,Bit wrong sing measure call part there report.,0.1
153,National,Severe,2,Asthma,Skin tell peace factor others skin agent keep up later store year interest.,0.05
154,By,Mild,13,Flu,Choice better shoulder them house interest night.,0.14
155,Imagine,Moderate,11,Asthma,Nor would star force rather particularly.,0.13
156,Out,Mild,14,Bronchitis,Boy hit hair painting without local own own and rate response offer.,0.13
157,Another,Severe,7,Allergies,Center detail bank occur heart stay government western hospital return bar reality network.,0.08
158,Cut,Mild,3,Allergies,Poor prepare dinner sometimes key stock always cover change knowledge Democrat bar.,0.03
159,Suddenly,Moderate,1,Cold,Career born song raise red reduce middle decide southern.,0.04
160,Industry,Severe,6,COVID-19,Employee necessary discussion great good if woman most radio what.,0.05
161,Performance,Severe,6,Allergies,Who land face program lawyer citizen.,0.05
162,State,Moderate,10,Cold,More so region language forward similar door seek democratic Mrs home.,0.13
163,Chance,Severe,7,Bronchitis,Stay or throw issue budget summer executive also step bed.,0.14
164,Some,Mild,8,Allergies,Hand mention fast lawyer trip care.,0.12
165,Others,Mild,3,Bronchitis,Site interest Democrat large on role unit everything.,0.09
166,Only,Moderate,3,Asthma,Vote campaign wife trial keep everything mission.,0.01
167,This,Mild,2,Cold,Experience list itself executive until serve rock.,0.08
168,City,Severe,2,Allergies,Sound fund represent board space least member teacher key together whether off down.,0.02
169,Life,Severe,3,Cold,Little left will let thousand itself important thing blue far look outside there.,0.02
170,Actually,Severe,10,COVID-19,Simple child appear her true four.,0.06
171,Painting,Mild,8,Bronchitis,To miss standard seven young prevent resource together build.,0.12
172,Generation,Moderate,12,Allergies,Too case sort describe game paper know response.,0.09
173,Get,Moderate,4,Cold,Good business thought fish city future yourself bag drop term.,0.02
174,Laugh,Mild,8,Asthma,Wonder pressure Mr chance ever likely worry color draw difficult itself eight.,0.12
175,Trip,Mild,13,Cold,Before fill be century tax identify meeting.,0.03
176,Full,Moderate,11,Flu,Movement support bank offer movie risk reach happy economy apply onto two event.,0.09
177,Ability,Mild,14,Cold,Throughout example face teacher before teacher course save.,0.06
178,Participant,Severe,13,COVID-19,Detail heart theory defense leave thought matter sit court spring important police.,0.11
179,Major,Moderate,5,Flu,Rock like sign beautiful camera seven toward eight deep impact.,0.15
180,Choice,Severe,11,Allergies,Add unit trip ok serve growth they north page hair positive culture say.,0.11
181,Short,Mild,4,Bronchitis,Decade listen source discover run clearly direction sell.,0.13
182,Seem,Severe,5,Bronchitis,Unit in western relationship put camera think reflect green news.,0.1
183,Performance,Mild,11,Flu,End beautiful hold someone social might out final method simply.,0.1
184,Million,Mild,4,Asthma,Sign on ago must born sometimes daughter.,0.03
185,Know,Mild,1,Allergies,Hotel plant recently rich want event really.,0.1
186,Force,Mild,5,Cold,Know cold second mean everybody compare chair happen operation figure interest economic.,0.03
187,Tough,Moderate,2,COVID-19,As born occur expect write yes.,0.04
188,Probably,Severe,12,Allergies,Point yes official season collection consider area sometimes maybe mention.,0.14
189,Hard,Moderate,1,Cold,Action maybe carry while dark indeed set Democrat action hospital local candidate.,0.01
190,Walk,Mild,1,COVID-19,Including man significant too appear weight nor.,0.12
191,Perform,Moderate,12,COVID-19,Store work out a tend a have serious science.,0.1
192,Wall,Mild,10,Cold,Matter window if happy activity TV finally year task blue.,0.14
193,Expert,Moderate,1,COVID-19,Bed lose none chance news explain up.,0.13
194,Cut,Severe,7,COVID-19,Chance carry name capital tough order word.,0.14
195,Hair,Moderate,4,Bronchitis,Company rule deal stuff history suffer physical own.,0.13
196,Third,Moderate,8,Flu,Audience write computer weight full night.,0.04
197,Close,Mild,10,Asthma,Body science his anyone full challenge ability.,0.06
198,Food,Moderate,7,Flu,Act sometimes mean seek low peace often nothing age.,0.06
199,Never,Moderate,11,Bronchitis,News garden table lead structure edge.,0.03
200,Cut,Mild,11,Cold,Girl more national dream hear wide learn moment foreign skill.,0.06
201,Case,Mild,8,Bronchitis,Property someone over way hard low.,0.1
202,Contain,Mild,8,Cold,Market benefit book age scientist discussion mouth to action second suggest sort radio.,0.05
203,Because,Mild,1,Flu,After guess commercial line of let station suffer.,0.11
204,Republican,Severe,13,Bronchitis,Level community would choose try former brother put catch example end fire.,0.12
205,Officer,Severe,6,COVID-19,Personal boy trouble they but can.,0.02
206,Many,Moderate,12,COVID-19,Administration herself American magazine bag rather item think husband identify gas each continue.,0.1
207,Quite,Severe,9,Flu,Should speak however three give price look life drive else trip but lot.,0.02
208,Send,Severe,1,Asthma,Inside million despite wear senior establish investment brother including history down today.,0.1
209,Take,Moderate,11,Flu,Understand late line consider later box leader.,0.14
210,Be,Severe,13,Flu,Policy tell wish close southern share admit often shoulder wish statement either.,0.04
211,Lose,Moderate,6,Cold,Until test water affect one speak behind.,0.03
212,Tax,Mild,11,Cold,Floor free whose card mean at else more three another most either.,0.13
213,Identify,Mild,4,Asthma,People series will movie soon will future important true she.,0.09
214,Century,Mild,3,Bronchitis,Entire evidence skin TV minute debate.,0.06
215,Blue,Severe,5,COVID-19,Hit cover for office relationship key bag go.,0.06
216,Road,Moderate,11,Allergies,Garden late top contain describe science shake catch sell join.,0.13
217,Sister,Mild,5,Asthma,Song billion reveal parent plan specific last.,0.15
218,Board,Moderate,3,Flu,Voice year cause occur late organization necessary around almost trouble amount believe just.,0.11
219,Bring,Severe,11,Cold,Likely line those vote himself top manager value four similar action.,0.11
220,Consider,Severe,5,Cold,Claim leg expect argue race poor sea commercial development material.,0.04
221,Help,Severe,5,COVID-19,Town left government about rate other specific western attorney later have happy offer.,0.05
222,Public,Moderate,2,Allergies,Popular collection both bit article sea against.,0.07
223,Hit,Severe,2,Cold,Strong customer consumer past task tree experience office.,0.03
224,Expect,Mild,12,Allergies,Air truth fast ok determine movement worry act special produce training check occur.,0.02
225,Total,Mild,12,Allergies,Usually five president campaign perform letter thus drop walk statement feel.,0.08
226,Owner,Severe,9,Allergies,People turn amount drop ready employee hour role head economy fact.,0.09
227,Available,Mild,3,Bronchitis,Girl forward include leave assume television tough film course rather.,0.13
228,Whole,Moderate,14,Flu,President month onto sit health world bag across organization young break.,0.06
229,Nice,Mild,3,Bronchitis,Card continue single style safe form party somebody myself center knowledge.,0.14
230,Story,Mild,4,Cold,Church owner partner paper able public allow arm say particular become price order.,0.15
231,Author,Severe,3,Asthma,Magazine often require together market success rather strong available type occur.,0.13
232,Station,Moderate,9,Flu,Stop impact perform author compare eye be everybody term determine.,0.15
233,Single,Severe,1,Asthma,Woman that officer customer western rich likely guy fast entire event.,0.14
234,Consumer,Moderate,2,Flu,Experience relate get product think north so thousand member north stock.,0.06
235,Real,Severe,1,Allergies,Police administration clearly statement example help.,0.1
236,Expect,Mild,9,Flu,When lose himself medical Congress color own base leg become expect.,0.01
237,Safe,Severe,9,Bronchitis,Ago create with create anything generation collection her out manage.,0.14
238,Defense,Moderate,9,Cold,How relationship three one past pick.,0.12
239,Population,Mild,14,Flu,Behavior knowledge song major activity list including guy.,0.11
240,Everything,Mild,2,Bronchitis,Election team rate future response shake build sing example clear rise.,0.02
241,Good,Severe,9,Flu,Future Mr detail reduce focus special catch.,0.06
242,Bar,Severe,8,COVID-19,Our myself likely lay term radio fine in describe consumer bank decade majority.,0.04
243,Current,Moderate,3,Asthma,Wrong figure lose do approach down several Mr man condition.,0.09
244,Chair,Severe,5,Flu,Central hospital finish statement mission group.,0.11
245,Lose,Severe,11,Cold,Describe wrong Congress character second foreign section pretty.,0.13
246,Tree,Mild,12,Flu,New day among see difficult role computer job single sing art finish property.,0.13
247,Price,Mild,8,Flu,Real receive check director ok continue image despite behavior fight consumer reveal goal.,0.02
248,Team,Severe,8,COVID-19,Business fight true field nature their address night traditional.,0.13
249,Reduce,Severe,13,Cold,Company contain investment return quickly add above me so may full couple sit.,0.06
250,Door,Mild,7,Cold,Hot administration level for able character financial though American both voice card.,0.12
251,Large,Moderate,14,Allergies,Plan society agreement themselves center figure nice Congress go.,0.13
252,Million,Mild,6,Allergies,Senior ten plant whatever commercial war discuss speak down begin want know.,0.09
253,Board,Moderate,8,Flu,Prepare station accept heart growth figure leg low public.,0.13
254,His,Severe,7,Bronchitis,Old full forward data note health throughout.,0.01
255,Party,Mild,3,Bronchitis,Myself three serve move card case along cultural girl within series international mention.,0.02
256,Bank,Mild,5,Asthma,Pay four theory measure daughter protect ball possible author letter mother loss ask.,0.11
257,Will,Mild,10,Flu,Indeed whom others result billion travel.,0.09
258,Hard,Moderate,11,Allergies,Republican yard together form first sit community each.,0.1
259,Option,Severe,13,Cold,World seat today win open exactly piece carry their break ground movement teach.,0.12
260,Must,Mild,9,Asthma,Work information want religious government court address well reach church trouble.,0.03
261,Return,Severe,1,Cold,Whole above marriage person receive attention kitchen decade window.,0.08
262,Great,Mild,13,Asthma,Sell bill society every popular wind record later.,0.04
263,Note,Severe,14,Allergies,State sea sea affect food behind authority move key huge couple over.,0.11
264,Common,Mild,3,Flu,Travel television mouth must indicate seem increase especially important message describe.,0.09
265,Five,Moderate,5,Bronchitis,Answer heavy hair notice already side color score great then.,0.05
266,Huge,Moderate,7,COVID-19,Wrong deep decision resource yeah year scientist world.,0.01
267,House,Moderate,3,Allergies,You pull address account fine government act chance young discover recently them.,0.08
268,Rock,Mild,12,COVID-19,Movie young back training hard machine rich guy keep long official despite someone.,0.13
269,West,Severe,4,Allergies,Heart finally dream former they career.,0.01
270,Shoulder,Mild,11,Cold,Prevent require take ability top popular.,0.06
271,Fine,Mild,10,Allergies,Person table class treatment rock message director PM.,0.15
272,Class,Mild,3,Bronchitis,Address station age amount paper concern rise him heart.,0.14
273,Behind,Severe,2,Flu,Modern change next senior concern degree.,0.04
274,Open,Severe,12,Bronchitis,Another success meeting here lot center identify.,0.11
275,Me,Moderate,13,Bronchitis,Today when high clearly everybody media least life baby large.,0.05
276,Safe,Severe,14,Cold,Individual send man big various old head by.,0.03
277,Onto,Severe,13,Allergies,Or score media raise help food.,0.04
278,Box,Moderate,5,Asthma,Level bank offer rather billion much statement focus.,0.01
279,Little,Moderate,14,Asthma,Office statement game enjoy number Democrat forward high environmental child stage.,0.04
280,When,Moderate,5,Bronchitis,Short hour wall true economic son chance agency only.,0.11
281,Bed,Mild,13,Bronchitis,Draw computer together almost professor billion any career.,0.02
282,Woman,Moderate,10,Flu,East yeah once kid example south administration throughout become laugh cell necessary article.,0.07
283,People,Mild,7,Allergies,Remember I meet reduce meeting first I defense oil growth may individual.,0.04
284,Certain,Mild,14,Cold,Scene television suggest ok charge plant one and firm anyone.,0.01
285,Analysis,Moderate,14,COVID-19,Cause nature let difference have peace rock occur fish point.,0.14
286,Bit,Severe,10,Cold,Story performance animal general show sometimes part would.,0.05
287,Ready,Severe,8,Allergies,Help work pick but ok pretty radio space war protect rest.,0.02
288,Quality,Moderate,10,COVID-19,Evening let green movement appear own issue evidence rock girl read.,0.06
289,Tv,Severe,13,Flu,Politics front single four purpose treat from especially machine.,0.04
290,Avoid,Mild,1,Bronchitis,Keep forget after next rise Congress appear list free affect.,0.1
291,If,Moderate,2,Bronchitis,Record interview Mrs toward purpose history.,0.03
292,Letter,Moderate,4,Asthma,Opportunity production modern never tax it what six organization first.,0.06
293,Community,Severe,12,Cold,Force general seat art television order.,0.15
294,City,Mild,5,Allergies,Even this personal firm effort executive better.,0.11
295,One,Mild,1,Flu,Front recognize visit realize either focus form offer accept measure else.,0.1
296,Consider,Moderate,5,Asthma,Girl room school design road item wish medical off skill minute company collection.,0.14
297,I,Severe,3,Flu,Thus poor certain wide community matter many activity.,0.11
298,Course,Severe,9,Flu,East rate concern film policy himself inside sister.,0.1
299,Herself,Severe,7,COVID-19,Quite toward without late hair better put kitchen.,0.06
300,Statement,Mild,8,Flu,Process several night probably lot Congress condition top understand law.,0.12
301,Power,Severe,2,Cold,Without scene minute PM student about situation would.,0.08
302,Through,Mild,7,Cold,Let spend better another concern culture nor across away hospital require bank indicate.,0.11
303,Through,Severe,13,Cold,Professional staff sea never contain color study term probably remain rather future.,0.12
304,Fast,Moderate,12,Asthma,Her small role information then would development animal everyone TV garden.,0.1
305,Door,Moderate,6,Cold,Name write way process cover police least say yet option cell today because.,0.07
306,Teacher,Severe,12,Allergies,Season hospital knowledge final assume theory pretty.,0.09
307,Capital,Moderate,13,Bronchitis,Audience rest drop return arm green number pretty light without paper.,0.14
308,Game,Moderate,10,Allergies,Dream various me subject where create guy stage property every talk expert.,0.06
309,Among,Moderate,5,COVID-19,Team once buy lawyer should song cell energy.,0.01
310,Nation,Mild,13,Asthma,Throw civil past deep usually study benefit capital tax case.,0.05
311,Main,Mild,7,Cold,Ground focus because federal box visit between drug training thing condition.,0.07
312,Surface,Moderate,2,Cold,Claim write player art yet various government hand almost final back identify always.,0.14
313,Third,Moderate,13,COVID-19,Federal model beyond young collection material mother become determine.,0.1
314,Sit,Severe,12,Allergies,Any condition detail subject personal name purpose weight.,0.15
315,Need,Moderate,8,Asthma,Wife although however exist amount position oil party add.,0.12
316,Brother,Mild,2,COVID-19,Himself not step teach son house economic.,0.1
317,Deal,Mild,3,Bronchitis,Have everything month among design decade result maybe knowledge popular worker camera.,0.09
318,Source,Mild,10,Allergies,Never appear energy then involve artist.,0.12
319,Benefit,Moderate,8,Cold,Perhaps card stuff event indeed feel woman end election or.,0.15
320,Task,Moderate,3,Flu,Age other east class summer picture before.,0.13
321,Region,Mild,9,Cold,Computer stay tax their possible let.,0.15
322,Final,Severe,4,Asthma,Truth sea human approach final prove question operation where.,0.14
323,Seat,Moderate,2,Cold,Parent music body property point number play coach move director customer brother food.,0.09
324,Baby,Moderate,13,Cold,Learn size option short now enter feeling mission measure bed race how.,0.07
325,Store,Moderate,9,Allergies,Degree truth will challenge contain identify decade choose record after street maybe.,0.12
326,Western,Moderate,10,Cold,Leave herself dark produce occur main at season.,0.15
327,Protect,Moderate,13,Bronchitis,Garden such husband fall group charge certainly grow level very reduce citizen investment.,0.05
328,Chair,Mild,4,COVID-19,As system inside particularly meeting outside tell something carry financial they.,0.13
329,Will,Severe,2,Allergies,Western animal science find understand before admit as best tough least provide.,0.02
330,Me,Moderate,12,Asthma,Husband statement participant parent rule small floor good light cut there benefit.,0.14
331,Effect,Mild,5,Allergies,Believe example with kind key too mission over loss fight.,0.01
332,State,Severe,9,Bronchitis,Behavior bad table impact us have candidate pick ground.,0.1
333,How,Mild,14,Cold,Physical reduce need age woman many maybe when.,0.04
334,Performance,Moderate,12,Flu,Role audience treat out pretty want investment they.,0.02
335,Choose,Moderate,3,Allergies,Tonight look southern discussion color speak.,0.06
336,Party,Severe,12,Bronchitis,Score away debate will enough total will thing leave thank stop world.,0.07
337,Campaign,Moderate,13,Asthma,Oil model customer may president management information.,0.03
338,Number,Mild,2,COVID-19,Hot would decision line father against same western buy campaign message less skill drive.,0.14
339,Both,Severe,8,Cold,His collection task time run miss see cut data.,0.05
340,Particular,Severe,5,COVID-19,Total possible level build debate production fish approach piece pressure trial.,0.03
341,Floor,Severe,1,Allergies,Event poor trouble center when culture hand raise sing.,0.03
342,On,Moderate,13,COVID-19,Entire recognize their door art enjoy itself pressure guy accept increase above sister.,0.07
343,Production,Severe,9,Asthma,Include crime begin long seven recognize build political.,0.05
344,Piece,Mild,4,Cold,Remain significant check from customer fear.,0.07
345,Road,Mild,1,Flu,Special low these so service anyone special move create citizen impact sometimes.,0.04
346,Some,Moderate,13,Cold,Gun southern approach official data sometimes smile something student eight girl language step.,0.11
347,Happen,Mild,3,COVID-19,Under ahead some care along begin.,0.1
